Palavra;Frequência
olá,;2
boa;18
noite;12
a;807
todos!boa;1
noite.;7
a;807
partir;5
de;798
agora,;17
você;64
acompanha;1
um;205
encontro;3
histórico;3
nos;32
estúdios;2
da;269
band;10
em;175
são;33
paulo,;4
em;175
uma;194
parceria;7
do;382
grupo;9
bandeirantes;5
com;221
a;807
tv;15
cultura,;9
o;804
jornal;5
folha;10
de;798
s.paulo;3
e;577
uol.;1
começa,;2
nesse;27
instante,;2
o;804
primeiro;22
debate;16
de;798
2022;3
entre;36
candidatos;28
à;49
presidência;13
da;269
república.faltando;1
35;1
dias;3
para;321
o;804
primeiro;22
turno,;3
o;804
eleitor;3
tem;121
a;807
oportunidade;16
inédita;1
de;798
ver;9
lado;6
a;807
lado,;3
ouvir;4
e;577
comparar;2
os;118
concorrentes;1
ao;55
palácio;2
do;382
planalto.;1
o;804
debate;16
também;35
é;420
transmitido;3
ao;55
vivo;4
pelas;6
rádios;3
bandeirantes,;10
band;10
news;7
fm,;1
pelo;35
band;10
news;7
tv,;1
além;12
da;269
band;10
internacional;4
e;577
também;35
as;110
plataformas;2
digitais.em;1
nome;11
de;798
todos;54
integrantes;3
do;382
pool,;4
nós;201
agradecemos;1
a;807
presença,;1
aqui;35
no;221
estúdio,;2
dos;48
candidatos:;2
felipe;14
d'ávila,;2
do;382
"novo;";1
luiz;6
inácio;4
lula;30
da;269
silva,;3
do;382
"pt;";1
simone;18
tebet,;5
do;382
"mdb;";1
jair;19
bolsonaro,;13
do;382
"pl;";1
soraya;21
thronicke,;5
do;382
união;8
"brasil;";1
e;577
ciro;24
gomes,;8
do;382
pdt.eu;1
lembro;4
que,;20
em;175
caso;17
de;798
ofensa;1
pessoal;2
ou;59
moral,;3
o;804
candidato;61
pode;22
pedir;6
direito;26
de;798
resposta;16
assim;14
que;832
terminar;3
o;804
tempo;20
de;798
quem;73
estiver;2
com;221
a;807
palavra,;2
basta;2
fazer;62
um;205
sinal;1
para;321
os;118
mediadores.que;1
uma;194
comissão;15
presente;3
na;124
band;10
formada;1
por;123
um;205
advogado;1
e;577
dois;23
jornalistas;8
vai;85
avaliar;1
a;807
solicitação;1
no;221
mesmo;21
bloco.;3
caso;17
concedido,;1
o;804
tempo;20
será;19
de;798
45;7
segundos.como;1
acertado;2
previamente;1
com;221
as;110
campanhas,;2
não;311
temos;51
público;11
aqui;35
neste;12
estúdio,;2
mas,;9
para;321
receber;4
convidados;1
e;577
jornalistas,;3
a;807
band;10
montou;2
uma;194
sala;3
digital;1
com;221
dados;4
exclusivos,;1
em;175
parceria;7
com;221
o;804
google;2
e;577
youtube.e;1
você;64
pode;22
acessar;1
as;110
mesmas;2
informações;2
apontando;1
o;804
celular;1
para;321
esse;77
código;2
que;832
aparece;2
na;124
tela.;1
será;19
possível;5
acompanhar;4
em;175
tempo;20
real;2
gráficos;1
com;221
a;807
repercussão;1
e;577
temas;1
mais;128
buscados.;1
o;804
debate;16
é;420
transmitido;3
também;35
no;221
band;10
play,;1
band.com.br;1
e;577
canal;1
band;10
jornalismo;2
do;382
youtube.vamos;1
acompanhar;4
agora,;17
então,;23
como;84
será;19
a;807
dinâmica;1
desse;15
debate;16
com;221
as;110
regras;6
que;832
foram;11
aprovadas;2
em;175
reunião;3
com;221
todos;54
os;118
partidos.no;1
primeiro;22
bloco,;4
cada;28
candidato,;11
por;123
ordem;9
de;798
sorteio,;4
tem;121
um;205
minuto;10
e;577
meio;11
para;321
responder;16
a;807
uma;194
pergunta;37
sobre;19
planos;2
de;798
governo.;13
serão;5
três;13
perguntas;8
diferentes,;3
cada;28
uma;194
direcionada;2
a;807
dois;23
dos;48
candidatos.;10
na;124
sequência,;3
também;35
em;175
ordem;9
definida;3
por;123
sorteio,;4
a;807
primeira;23
rodada;9
de;798
confronto;7
direto.;2
todos;54
perguntam;2
e;577
todos;54
respondem.;1
o;804
candidato;61
escolhe;4
quem;73
vai;85
responder;16
e;577
tem;121
um;205
minuto;10
para;321
a;807
pergunta;37
e;577
um;205
minuto;10
para;321
a;807
réplica.;2
o;804
tempo;20
de;798
resposta;16
e;577
de;798
tréplica;2
será;19
de;798
quatro;14
minutos;10
no;221
total,;1
a;807
ser;54
administrado;3
pelo;35
próprio;5
candidato.;9
no;221
segundo;9
bloco,;4
jornalistas;8
das;70
empresas;8
integrantes;3
do;382
pool;5
fazem;5
perguntas;8
para;321
os;118
candidatos,;8
escolhendo;1
quem;73
vai;85
responder;16
e;577
quem;73
vai;85
comentar.;1
o;804
tempo;20
é;420
de;798
quatro;14
minutos;10
para;321
a;807
resposta;16
e;577
a;807
réplica,;2
a;807
ser;54
administrado;3
pelo;35
candidato.;9
o;804
comentário;8
tem;121
um;205
minuto.;2
todos;54
respondem;3
e;577
todos;54
comentam.;1
o;804
terceiro;3
bloco;5
será;19
mediado;2
pelos;10
jornalistas;8
leão;2
serva,;2
da;269
tv;15
cultura,;9
e;577
fabíola;2
cidral,;2
do;382
uol,;4
e;577
começa;7
com;221
mais;128
uma;194
rodada;9
de;798
confronto;7
direto;4
entre;36
os;118
candidatos,;8
seguindo;2
as;110
mesmas;2
regras;6
do;382
primeiro;22
bloco.;3
na;124
sequência,;3
os;118
candidatos;28
respondem;3
perguntas;8
programáticas.;1
serão;5
três;13
perguntas;8
diferentes,;3
cada;28
uma;194
direcionada;2
a;807
dois;23
dos;48
candidatos.;10
depois;8
disso,;6
os;118
candidatos;28
terão;3
dois;23
minutos;10
cada;28
para;321
suas;14
considerações;8
finais.vamos,;1
então,;23
à;49
primeira;23
pergunta,;10
que;832
será;19
dirigida;1
aos;18
candidatos;28
felipe;14
d'ávila;4
e;577
soraya;21
thronicke,;5
nessa;11
ordem.e;1
quem;73
vai;85
fazer;62
a;807
primeira;23
pergunta;37
é;420
a;807
